,predicted_mean
17286,510.2410591678271
17287,515.4157429275094
17288,515.518420343285
17289,515.5204576951697
17290,515.5204981208336
17291,515.5204989229701
17292,515.5204989388862
17293,515.5204989392021
17294,515.5204989392083
17295,515.5204989392084
17296,515.5204989392084
17297,515.5204989392084
17298,515.5204989392084
17299,515.5204989392084
17300,515.5204989392084
17301,515.5204989392084
17302,515.5204989392084
17303,515.5204989392084
17304,515.5204989392084
17305,515.5204989392084
17306,515.5204989392084
17307,515.5204989392084
17308,515.5204989392084
17309,515.5204989392084
17310,515.5204989392084
17311,515.5204989392084
17312,515.5204989392084
17313,515.5204989392084
17314,515.5204989392084
17315,515.5204989392084
