Recency,Frequency,Monetary
326,1,77183.6
2,182,4310.0
75,31,1797.24
19,73,1757.55
310,17,334.4
36,85,2506.04
204,4,89.0
232,58,1079.4
214,13,459.4
23,59,2811.43
33,131,6207.67
2,19,1168.06
58,248,6372.58
52,129,2662.06
287,10,189.9
3,266,5226.23
110,23,552.0
8,85,1313.1
291,22,641.38
4,11,168.9
51,167,3545.69
45,63,1887.96
72,52,1298.04
311,14,364.6
25,33,742.9300000000001
11,17,457.5
315,77,1628.12
130,219,4008.62
82,40,852.24
22,104,2724.81
5,87,1845.31
185,99,1850.56
29,27,585.27
338,10,401.9
16,100,2780.66
80,32,549.84
22,100,460.89
72,64,1582.6000000000001
64,27,1272.48
19,156,3018.63
36,126,2409.9
46,85,1635.6599999999999
119,59,1108.65
303,5,84.3
323,11,225.6
50,5,427.7
149,54,1710.39
22,105,3415.3
50,77,1708.1200000000001
33,105,2888.55
79,109,11072.67
309,26,693.3299999999999
75,61,1226.88
67,38,758.1
217,18,562.41
24,716,124914.53
3,192,3649.1
113,34,668.58
64,29,600.39
16,45,807.04
96,39,803.5600000000001
1,125,1859.31
163,30,1760.96
78,36,777.2
195,30,582.73
22,31,825.8
26,294,7956.46
9,97,3750.4
43,11,256.4
36,236,6487.45
43,108,5059.32
1,420,13375.87
85,50,806.14
80,36,7829.89
100,16,509.01
2,200,4951.41
14,98,2906.85
367,11,173.55
3,12,172.06
21,177,5005.46
22,4,133.4
58,58,1002.3100000000001
243,26,476.49
44,22,449.45
22,191,4067.29
156,8,197.88
11,354,9035.52
17,22,430.57
134,43,707.09
56,15,3528.34
73,90,2466.86
44,125,3181.04
66,63,2363.23
71,38,947.4
94,35,826.88
19,62,1189.59
53,83,1344.78
10,29,1212.05
17,47,742.1899999999999
188,38,729.5400000000001
2,460,19824.05
32,339,6572.11
29,168,3938.5499999999997
17,424,7375.79
54,36,723.38
16,233,6816.42
23,300,13219.74
4,36,680.99
11,31,527.2
28,154,3281.63
23,217,5596.32
17,75,2484.98
33,346,4541.72
10,55,1298.66
336,15,334.93
5,245,5417.93
39,26,460.40000000000003
63,20,263.21000000000004
166,22,433.74
16,77,1246.1000000000001
82,14,1043.1
21,23,403.70000000000005
23,61,4257.82
337,149,2169.39
96,147,3723.87
18,9,482.04999999999995
233,23,73.5
134,22,1304.81
26,69,398.27
284,7,176.5
143,33,982.5699999999999
66,34,138.03
113,35,612.29
267,51,1017.68
353,16,383.7
78,26,1312.06
28,284,2502.84
1,124,2056.89
64,18,340.84
79,152,2634.26
143,38,599.68
39,12,192.72
19,106,1789.77
9,144,4485.72
1,71,1316.66
82,18,348.71000000000004
9,92,1933.48
60,66,1662.28
15,17,125.22
30,16,349.83000000000004
131,63,1089.18
92,34,716.35
43,261,12601.830000000002
29,21,363.95
22,273,5568.35
20,478,13400.24
30,52,981.18
36,19,372.7
75,50,1000.39
47,69,1161.5
198,8,207.79999999999998
166,5,95.19999999999999
79,57,964.83
358,10,168.0
39,20,437.82
8,191,3692.28
50,121,603.71
16,33,11990.960000000001
8,11,269.96
311,21,561.71
5,105,2134.01
303,16,238.85
8,168,3781.7400000000002
261,21,456.9
289,9,145.92
86,19,351.65
23,446,9401.28
2,188,4124.69
40,34,519.61
9,60,1020.42
227,28,160.54000000000002
316,11,218.45
36,88,1315.83
35,147,657.8
21,114,2794.51
78,29,440.42
247,24,415.7
40,15,197.71
239,22,511.36
3,247,7281.38
4,96,2338.15
234,87,2040.1
17,11,196.94000000000003
8,4,144.0
39,10,214.89999999999998
29,35,646.68
211,68,9864.26
317,26,452.84999999999997
92,18,437.6
109,21,418.09999999999997
38,118,3338.2200000000003
51,27,618.27
19,206,3811.22
10,132,3023.08
29,62,1032.58
29,64,2599.04
190,28,577.0600000000001
59,12,153.12
22,3,739.1999999999999
79,16,254.18
60,101,1579.51
78,60,1126.85
23,106,2099.54
52,65,1193.32
74,19,704.0400000000001
57,153,3344.38
278,20,315.6
2,105,2291.19
95,32,713.3
29,42,355.53
22,11,177.31
16,90,3641.24
15,92,1339.41
2,467,13689.67
232,11,180.1
276,18,305.1
106,38,641.13
212,86,2683.82
23,294,6620.48
11,230,4478.53
4,41,786.46
10,64,1270.88
57,31,640.5
59,101,2163.98
90,101,1689.18
67,390,6021.9
33,39,671.69
239,22,486.1
24,53,1174.58
115,10,185.9
25,47,1013.26
128,24,3344.64
130,31,477.91
34,73,1775.18
5,45,1346.97
22,122,3722.82
155,21,318.05
107,31,623.51
3,20,314.44
335,9,114.0
331,48,919.98
149,43,2209.85
11,38,601.98
17,126,4051.17
11,47,1643.18
19,36,686.05
30,5,91.68
11,13,245.1
1,230,3849.78
8,37,4881.88
325,3,63.0
58,33,620.13
12,161,3807.15
151,101,2744.0299999999997
10,92,2996.05
330,10,225.89999999999998
5,42,610.52
39,83,1970.6
25,45,1331.39
42,165,17628.46
59,48,1113.02
1,52,862.81
15,638,13787.54
4,525,12288.22
4,344,8476.57
8,105,2283.63
28,157,2863.08
372,7,89.14
114,171,4873.8099999999995
26,72,1247.61
206,16,389.01
28,32,1035.8
127,39,855.91
70,37,869.67
7,27,582.1
29,41,957.59
8,268,4939.99
80,53,797.71
20,12,219.0
71,21,283.55
7,88,2340.84
15,334,6868.29
292,33,603.42
30,157,2712.91
15,208,9736.52
97,77,1149.02
29,133,4396.13
1,38,848.55
9,259,4708.86
106,21,353.86
4,69,1053.49
151,55,1030.98
71,19,238.25
5,39,644.95
3,354,5781.73
32,161,2656.13
85,53,997.63
4,69,725.07
5,53,1031.41
371,24,427.8
28,124,2609.1
11,139,3980.7
71,46,836.33
114,26,453.01
24,274,18895.91
180,12,236.26000000000002
234,22,383.95
353,4,110.39999999999999
315,43,779.5699999999999
333,4,234.0
372,11,155.35
78,38,1013.04
64,27,427.6
134,134,546.43
52,222,21279.29
2,103,4196.01
1,4596,33719.73
4,199,4090.88
129,15,275.88
81,53,4366.78
23,197,21429.39
236,63,3010.74
281,4,3811.95
87,4,112.07999999999998
16,371,7857.1
117,97,2791.59
52,95,1531.44
8,69,1898.52
138,18,494.08
317,45,1693.88
4,310,6989.63
239,32,1143.6
211,12,1351.45
60,55,892.47
17,66,1386.04
20,50,822.23
38,149,3981.36
64,25,826.74
5,103,2330.92
2,84,2225.91
9,59,574.42
364,14,311.95
10,20,463.66
65,4,91.85
192,21,324.92
374,2,192.60000000000002
257,25,400.53999999999996
335,24,545.48
53,45,860.41
19,14,430.48
366,13,254.03
10,8,6977.04
187,25,427.58
37,28,483.65000000000003
178,25,489.31
261,31,514.85
45,15,229.64000000000001
102,2,125.92
148,47,1063.46
96,29,572.2
281,4,166.04
262,14,1542.08
3,59,942.34
214,6,92.72
71,46,948.88
75,5,1759.5
60,25,397.12
3,91,1474.72
6,25,430.15000000000003
3,56,1018.71
337,11,293.0
38,38,6814.64
262,9,215.05
32,27,383.03
145,24,417.38
283,18,312.38
59,175,2612.86
173,12,134.1
34,123,683.13
3,314,5591.42
144,113,2726.77
5,420,4022.35
70,34,1118.99
66,103,1702.26
29,52,325.96000000000004
267,27,354.09
22,91,871.54
31,51,1050.8899999999999
97,50,135.18
295,17,311.55
135,78,1957.1000000000001
79,110,1324.5
373,3,38.1
8,314,2179.93
211,46,1106.4
52,5,521.2
138,3,147.12
26,95,1568.23
283,26,559.12
26,538,4036.82
186,107,1607.0600000000002
84,11,380.64
327,66,599.97
282,4,374.0
143,2,343.2300000000001
58,85,2218.02
4,154,1535.77
236,47,854.99
45,10,573.22
276,7,298.0
9,13,1463.04
25,42,703.47
88,7,309.05
63,71,1175.22
68,82,1378.4
214,5,354.12
24,82,380.46999999999997
186,3,331.0
31,34,188.14
42,22,372.8
205,4,216.5
9,116,17654.54
265,10,138.68
18,72,509.58
12,63,2919.81
176,2,750.0
40,91,2178.67
23,75,3075.04
3,24,1662.3
5,50,2483.63
149,22,363.65
139,107,3006.15
128,2,594.0
8,50,1335.19
17,28,164.23
9,720,16587.09
161,28,405.38
64,29,176.97
88,30,933.7
5,45,694.05
35,84,2062.7000000000003
312,8,117.85
78,25,415.8
22,82,42055.96
24,106,607.53
2,129,2160.7
17,62,1063.9
15,120,1504.27
26,9,114.14
64,47,11581.8
55,99,913.54
131,75,683.9
36,30,604.51
288,23,462.95
144,97,1603.99
16,116,2064.95
31,215,4167.22
2,23,1843.0
9,63,1064.07
6,79,1387.79
10,17,329.85
1,180,4757.16
306,19,108.07
10,238,4017.54
7,16,266.39
8,95,1856.63
89,109,771.91
10,10,160.18
358,19,1660.9
112,5,135.95
7,151,452.24
4,305,11189.91
198,8,144.8
212,22,738.6
156,9,39.239999999999995
158,20,7374.900000000001
30,20,372.21999999999997
243,28,390.54
19,4,97.5
1,76,1239.38
74,28,558.7
292,92,535.32
3,64,6924.110000000001
31,13,409.5
23,31,503.76
23,27,414.76
4,61,974.4200000000001
85,3,211.32
22,59,1226.89
196,28,455.88
107,31,534.85
4,339,9818.82
318,7,120.94999999999999
106,6,149.05
12,404,5655.91
174,26,513.7
56,4,81.57
323,14,229.46999999999997
372,3,50.550000000000004
9,89,1661.8400000000001
1,219,4810.9400000000005
11,110,3466.2799999999997
53,176,3346.28
73,47,789.89
7,1,204.0
16,458,7277.7
4,131,2616.38
64,40,689.9
1,40,975.36
114,26,6912.0
23,45,661.3199999999999
31,10,1247.5
11,99,799.48
52,71,1010.18
357,11,190.55
55,37,642.77
74,27,921.88
138,48,881.07
80,28,908.46
9,43,676.99
273,13,516.42
291,33,560.47
99,18,305.28000000000003
31,35,629.31
32,172,3237.54
14,136,1835.91
64,14,656.6800000000001
15,403,5836.86
212,18,348.15000000000003
78,76,1214.41
25,8,271.40000000000003
250,8,183.4
254,15,307.53
72,10,248.61
191,11,346.98
13,69,1119.49
373,14,205.86
24,48,470.8
82,15,115.46000000000001
10,2,344.0
1,425,4436.12
192,9,228.8
267,7,177.15
