Recency,Frequency,Monetary,Cluster,Churn
326,1,77183.6,3,1
2,182,4310.0,0,0
75,31,1797.24,1,0
19,73,1757.55,0,0
310,17,334.4,3,1
36,85,2506.04,0,0
204,4,89.0,3,1
232,58,1079.4,3,1
214,13,459.4,3,1
23,59,2811.43,0,0
33,131,6207.67,0,0
2,19,1168.06,0,0
58,248,6372.58,0,0
52,129,2662.06,0,0
287,10,189.9,3,1
3,266,5226.23,0,0
110,23,552.0,1,1
8,85,1313.1,0,0
291,22,641.38,3,1
4,11,168.9,0,0
51,167,3545.69,0,0
45,63,1887.96,0,0
72,52,1298.04,1,0
311,14,364.6,3,1
25,33,742.9300000000001,0,0
11,17,457.5,0,0
315,77,1628.12,3,1
130,219,4008.62,1,1
82,40,852.24,1,0
22,104,2724.81,0,0
5,87,1845.31,0,0
185,99,1850.56,1,1
29,27,585.27,0,0
338,10,401.9,3,1
16,100,2780.66,0,0
80,32,549.84,1,0
22,100,460.89,0,0
72,64,1582.6000000000001,1,0
64,27,1272.48,1,0
19,156,3018.63,0,0
36,126,2409.9,0,0
46,85,1635.6599999999999,0,0
119,59,1108.65,1,1
303,5,84.3,3,1
323,11,225.6,3,1
50,5,427.7,1,0
149,54,1710.39,1,1
22,105,3415.3,0,0
50,77,1708.1200000000001,0,0
33,105,2888.55,0,0
79,109,11072.67,0,0
309,26,693.3299999999999,3,1
75,61,1226.88,1,0
67,38,758.1,1,0
217,18,562.41,3,1
24,716,124914.53,2,0
3,192,3649.1,0,0
113,34,668.58,1,1
64,29,600.39,1,0
16,45,807.04,0,0
96,39,803.5600000000001,1,1
1,125,1859.31,0,0
163,30,1760.96,1,1
78,36,777.2,1,0
195,30,582.73,3,1
22,31,825.8,0,0
26,294,7956.46,0,0
9,97,3750.4,0,0
43,11,256.4,1,0
36,236,6487.45,0,0
43,108,5059.32,0,0
1,420,13375.87,0,0
85,50,806.14,1,0
80,36,7829.89,1,0
100,16,509.01,1,1
2,200,4951.41,0,0
14,98,2906.85,0,0
367,11,173.55,3,1
3,12,172.06,0,0
21,177,5005.46,0,0
22,4,133.4,0,0
58,58,1002.3100000000001,1,0
243,26,476.49,3,1
44,22,449.45,1,0
22,191,4067.29,0,0
156,8,197.88,1,1
11,354,9035.52,0,0
17,22,430.57,0,0
134,43,707.09,1,1
56,15,3528.34,1,0
73,90,2466.86,1,0
44,125,3181.04,0,0
66,63,2363.23,1,0
71,38,947.4,1,0
94,35,826.88,1,1
19,62,1189.59,0,0
53,83,1344.78,0,0
10,29,1212.05,0,0
17,47,742.1899999999999,0,0
188,38,729.5400000000001,3,1
2,460,19824.05,0,0
32,339,6572.11,0,0
29,168,3938.5499999999997,0,0
17,424,7375.79,0,0
54,36,723.38,1,0
16,233,6816.42,0,0
23,300,13219.74,0,0
4,36,680.99,0,0
11,31,527.2,0,0
28,154,3281.63,0,0
23,217,5596.32,0,0
17,75,2484.98,0,0
33,346,4541.72,0,0
10,55,1298.66,0,0
336,15,334.93,3,1
5,245,5417.93,0,0
39,26,460.40000000000003,0,0
63,20,263.21000000000004,1,0
166,22,433.74,1,1
16,77,1246.1000000000001,0,0
82,14,1043.1,1,0
21,23,403.70000000000005,0,0
23,61,4257.82,0,0
337,149,2169.39,3,1
96,147,3723.87,1,1
18,9,482.04999999999995,0,0
233,23,73.5,3,1
134,22,1304.81,1,1
26,69,398.27,0,0
284,7,176.5,3,1
143,33,982.5699999999999,1,1
66,34,138.03,1,0
113,35,612.29,1,1
267,51,1017.68,3,1
353,16,383.7,3,1
78,26,1312.06,1,0
28,284,2502.84,0,0
1,124,2056.89,0,0
64,18,340.84,1,0
79,152,2634.26,1,0
143,38,599.68,1,1
39,12,192.72,1,0
19,106,1789.77,0,0
9,144,4485.72,0,0
1,71,1316.66,0,0
82,18,348.71000000000004,1,0
9,92,1933.48,0,0
60,66,1662.28,1,0
15,17,125.22,0,0
30,16,349.83000000000004,0,0
131,63,1089.18,1,1
92,34,716.35,1,1
43,261,12601.830000000002,0,0
29,21,363.95,0,0
22,273,5568.35,0,0
20,478,13400.24,0,0
30,52,981.18,0,0
36,19,372.7,0,0
75,50,1000.39,1,0
47,69,1161.5,0,0
198,8,207.79999999999998,3,1
166,5,95.19999999999999,1,1
79,57,964.83,1,0
358,10,168.0,3,1
39,20,437.82,0,0
8,191,3692.28,0,0
50,121,603.71,0,0
16,33,11990.960000000001,0,0
8,11,269.96,0,0
311,21,561.71,3,1
5,105,2134.01,0,0
303,16,238.85,3,1
8,168,3781.7400000000002,0,0
261,21,456.9,3,1
289,9,145.92,3,1
86,19,351.65,1,0
23,446,9401.28,0,0
2,188,4124.69,0,0
40,34,519.61,0,0
9,60,1020.42,0,0
227,28,160.54000000000002,3,1
316,11,218.45,3,1
36,88,1315.83,0,0
35,147,657.8,0,0
21,114,2794.51,0,0
78,29,440.42,1,0
247,24,415.7,3,1
40,15,197.71,1,0
239,22,511.36,3,1
3,247,7281.38,0,0
4,96,2338.15,0,0
234,87,2040.1,3,1
17,11,196.94000000000003,0,0
8,4,144.0,0,0
39,10,214.89999999999998,1,0
29,35,646.68,0,0
211,68,9864.26,3,1
317,26,452.84999999999997,3,1
92,18,437.6,1,1
109,21,418.09999999999997,1,1
38,118,3338.2200000000003,0,0
51,27,618.27,1,0
19,206,3811.22,0,0
10,132,3023.08,0,0
29,62,1032.58,0,0
29,64,2599.04,0,0
190,28,577.0600000000001,3,1
59,12,153.12,1,0
22,3,739.1999999999999,0,0
79,16,254.18,1,0
60,101,1579.51,0,0
78,60,1126.85,1,0
23,106,2099.54,0,0
52,65,1193.32,0,0
74,19,704.0400000000001,1,0
57,153,3344.38,0,0
278,20,315.6,3,1
2,105,2291.19,0,0
95,32,713.3,1,1
29,42,355.53,0,0
22,11,177.31,0,0
16,90,3641.24,0,0
15,92,1339.41,0,0
2,467,13689.67,0,0
232,11,180.1,3,1
276,18,305.1,3,1
106,38,641.13,1,1
212,86,2683.82,3,1
23,294,6620.48,0,0
11,230,4478.53,0,0
4,41,786.46,0,0
10,64,1270.88,0,0
57,31,640.5,1,0
59,101,2163.98,0,0
90,101,1689.18,1,0
67,390,6021.9,0,0
33,39,671.69,0,0
239,22,486.1,3,1
24,53,1174.58,0,0
115,10,185.9,1,1
25,47,1013.26,0,0
128,24,3344.64,1,1
130,31,477.91,1,1
34,73,1775.18,0,0
5,45,1346.97,0,0
22,122,3722.82,0,0
155,21,318.05,1,1
107,31,623.51,1,1
3,20,314.44,0,0
335,9,114.0,3,1
331,48,919.98,3,1
149,43,2209.85,1,1
11,38,601.98,0,0
17,126,4051.17,0,0
11,47,1643.18,0,0
19,36,686.05,0,0
30,5,91.68,0,0
11,13,245.1,0,0
1,230,3849.78,0,0
8,37,4881.88,0,0
325,3,63.0,3,1
58,33,620.13,1,0
12,161,3807.15,0,0
151,101,2744.0299999999997,1,1
10,92,2996.05,0,0
